userName,at,score,content,reviewId
Pengguna Google,2025-04-24 02:52:31,1,sekarang berbayar semua,33226353-5e51-4cdb-a61a-43c0bebf3170
Pengguna Google,2025-04-23 03:31:12,3,"sejauh ini apknya baguss bagus ajaa, semoga kedepannya masi sesuai ekspetasi aja sihh",bcb28cd3-cb68-4a05-9879-19979875560c
Pengguna Google,2025-04-22 20:31:38,5,good,a29c65d8-62b2-4943-bd5f-bdd8fddf88ae
Pengguna Google,2025-04-21 14:49:28,5,aplikasi yang sangat luar biasa bisa membantu belajar bahasa Inggris sendiri,472f0e79-01e8-4fe8-8da1-7cddc917004d
Pengguna Google,2025-04-21 06:11:32,5,very good aplication,e39bbf3a-eef0-4d7f-9699-02ff1c33a83f
Pengguna Google,2025-04-20 00:03:01,5,peningkatan secara bertahap,bf0e0fa4-cc4c-47f4-9167-cd1825ff717f
Pengguna Google,2025-04-19 15:38:10,5,Good,d85ba2a2-d373-4767-9c71-51177229c73c
Pengguna Google,2025-04-19 02:31:39,5,good,0fe48e6a-99ab-44c9-bb2d-549d15f0c26d
Pengguna Google,2025-04-18 16:53:34,5,keren dan sangat membantu. semog masa uji cobanya diperpanjang :),885b74ac-446e-4232-bbed-ee38ffd4dc00
Pengguna Google,2025-04-18 16:21:43,1,susah buat kluarin akun dan semua pemblajaran harus premium semua tidak ada yg gratis bagi orang yg tidak mampu,77268fc7-3553-413e-a907-2a8c8e5bfa70
Pengguna Google,2025-04-18 07:49:53,2,"Versi yg sekarang banyak yg ga ada terjemahan bahasa Indonesianya lagi di tiap pelajaran, ga bisa tau arti katanya selain dari bahasa inggrisnya sendiri dan ga bisa benerin kata yang salahnya Kecewa",da175774-efd3-484e-9745-2aa6d5f64bac
Pengguna Google,2025-04-18 05:02:15,5,luar biasa,8d54be2d-fbbe-4e08-a916-08d142b19dac
Pengguna Google,2025-04-18 03:02:26,1,IKLAN BERBAYAR MENGGANGGU,8d25f997-6837-4d43-88ca-bd58dd9e3daf
Pengguna Google,2025-04-16 11:05:11,5,Aplikasi yang paling bagus banget untuk kita yang bisa belajar bahasa inggris supaya lancar.,7055cd46-d316-4050-9fa9-76ff6ed7ae5e
Pengguna Google,2025-04-13 09:57:32,4,"aplikasi ini overall sangatlah bagus, dan mendukung kemajuan AI. namun bisakah mengurangi pembayaran untk pembelajaran??",1091d2d2-4ee5-441f-b0f1-6892644dfc4d
Pengguna Google,2025-04-12 13:10:19,5,"ini apk nya ngebantu banget, buat kalian yang mau belajar bahasa inggris, disini juga ada roleplay yang menurut ku seru buat dimainin",f224b33b-2fff-4d9f-af55-6623b53bc40f
Pengguna Google,2025-04-12 03:56:47,4,ok,5f4541ec-f910-46ea-8d98-a10ec9fa24ae
Pengguna Google,2025-04-11 15:37:34,5,kereenn,b13b590f-7321-43ad-9bea-f25c3315d2de
Pengguna Google,2025-04-11 03:43:44,4,this good app. i recomend you to download this app,7b12970b-9822-40e8-988b-420fb24159a2
Pengguna Google,2025-04-11 00:34:21,1,"tolong kembalikan saldo dana saya,tiba2 kepotong sendiri,padahal saya tidak berlangganan tiap tahun,tapi kemaren kepencet,jadi tolong kembalikan uang saldo saya yg sudah kesetod",930d0fac-31b9-4f7c-b6d2-6b2a52703847
Pengguna Google,2025-04-10 09:29:05,5,good English,882a8c2c-587b-4f44-9504-98accfd03bb4
Pengguna Google,2025-04-09 14:47:17,4,respon terhadap setiap percakapan sangat cepat dan cukup akurat,5079f213-8e87-4e4a-a252-7869c863c214
Pengguna Google,2025-04-08 02:49:15,1,harus byr dulu bjir br bs bljr g like.,9797eaef-e34b-46d4-8183-2bfdcb82f1f7
Pengguna Google,2025-04-06 07:51:22,4,good,855ee78f-3eb4-47b5-8e44-459ba7851b66
Pengguna Google,2025-04-06 01:27:28,5,awesome,631c49dc-745f-4324-b197-c932cfaa70d8
Pengguna Google,2025-04-05 17:09:49,5,baagussss,2f293e55-9f4c-40f1-82f9-98ccb4df2faf
Pengguna Google,2025-04-05 12:37:48,4,good,93ac466d-795a-4518-8181-0d8ca360eaeb
Pengguna Google,2025-04-03 18:59:32,5,so fun,4da8d9c0-c11e-48d7-990a-ccdbc135c9a9
Pengguna Google,2025-04-03 08:50:58,1,sudah bayar 1 juta untuk 1 tahun tahu2 suruh bayar lagi,27ec2a59-730b-428b-9577-313ecc928ef9
Pengguna Google,2025-04-01 14:52:08,5,i hope there is more free course,08f81255-a305-4f4e-9cf9-499b90c30d12
Pengguna Google,2025-04-01 05:43:29,1,exited buat download ni apk karna nonton nessie. kirain free ternyata berbayar :'),04225152-0824-4e91-8fe3-dc598405677a
Pengguna Google,2025-03-31 02:05:29,3,"aplikasi nya bagus pas coba yah bagus,tapi besoknya mau coba lagi udah gak bisa loading nya lama banget lagi padahal jaringanya baik"" aja mohon diperbaiki yah🙏🙏",f1fa620f-0248-469a-a88b-59ec67b08d24
Pengguna Google,2025-03-30 06:22:06,1,ini sangat buruk,b01829c0-9cda-4652-87f3-80293f4dbbdb
Pengguna Google,2025-03-30 06:02:28,4,"bagus, tapi perlu terus developmentnya",d546f997-88a1-4d24-b26c-fd60d34ff052
Pengguna Google,2025-03-26 07:09:55,1,"custom service sama sekali gak membantu, kayak chat sama tembok gak nyambung dan gak ramah pula, sumpah kecewa",e4a99390-d379-47aa-8515-9244e4c22009
Pengguna Google,2025-03-25 13:39:00,1,"Kasusnya yang SAMA seperti saya, COBA LIKE.... Setelah download LOGIN dan ga terjadi apa apa hanya ada tulisan dan speak: (Hi! I'm ELSA your personal English tutor)",fd22cec5-4ae8-4c25-86d1-197ca4a699b0
Pengguna Google,2025-03-25 12:27:56,4,kesini gara gara nonton nessie judge,0d0b5be4-909b-4f67-90e1-537a5a861a01
Pengguna Google,2025-03-23 07:07:03,5,lumayan lah tilu kilo ge,90eefa55-f998-4bea-b23b-701d1170a628
Pengguna Google,2025-03-21 13:35:24,2,"I don't really like the new interface, the old one is better :( It takes me harder to search for the sub of each course because it keeps going back to the front course. So I need to click the ongoing course again and again. Also they didn't show the course that I took in the profile so I need to guess all the progress of my course. This is annoying and ineffective.",30b01668-f062-40bb-a6f1-ab058d9d7d01
Pengguna Google,2025-03-19 06:21:52,5,good apk,e8f0c753-7e87-4ea4-9434-6254ed7cc3c3
Pengguna Google,2025-03-18 15:51:26,5,Bagus buat belajar bahasa inggris,0ea4da08-7423-40b5-9bbb-6e1278fde46d
Pengguna Google,2025-03-17 09:37:32,1,i so lovee and like this too,873efd41-97c5-486c-812b-1b62a29e958d
Pengguna Google,2025-03-15 05:08:07,4,"Sebenarnya bagus banget aplikasi ini. Tapi kenapa ya sudah 1 Minggu gak bisa dibuka. Loading terus, tolong diperbaiki ya. Terimakasih",a6d8e2cc-0767-4ad1-8fb6-fae499e6db9c
Pengguna Google,2025-03-13 03:25:45,5,good app,44eee2c0-7325-41f9-a2a3-7ba4ecfbac79
Pengguna Google,2025-03-12 15:22:48,2,Suka error,c71e7d83-c00c-4273-a65b-f6986aec0151
Pengguna Google,2025-03-11 03:38:33,4,"saya kasih bintang 4 karna sering macet, kalau udah ga macet saya kasih bintang 5",99c162bf-a0b4-432e-bcad-c3bb496e0874
Pengguna Google,2025-03-10 00:45:10,5,Karen banget,6a002ef4-50c6-4ba6-bdb4-ad48367f509a
Pengguna Google,2025-03-07 12:06:09,4,"luar biasa, semoga bisa cepat lancar...terima kasih",d9bd48a7-07ff-4aed-b305-ce32dbf82805
Pengguna Google,2025-03-06 02:38:46,5,aplikasi yang bermanfaat untuk melatih pengucapan dalam Bahasa Inggris thank you ELSA SPEAK,6a731f6a-12e3-45bd-86a5-6e91e86af344
Pengguna Google,2025-03-05 12:34:13,1,Berbayar semua anj babiending duolingo sepenuhnya gratis,166993d2-b8d8-411f-9ff7-dd9eeddb34f7
Pengguna Google,2025-03-05 01:32:54,5,excellent,084b1489-c379-4172-95d1-783bbc4e91e6
Pengguna Google,2025-03-04 13:49:03,5,sangat membantu mempelajari bahasa Inggris dengan penuh semangat,66f897de-c701-4b37-8f3a-9e700eebe5c6
Pengguna Google,2025-03-02 21:31:09,4,bagus,65449a71-e736-44ce-bd34-c9e936f42d79
Pengguna Google,2025-03-02 15:15:54,5,good,317c70e7-2316-46fc-a81f-9a8b16fb6c9d
Pengguna Google,2025-03-02 09:21:37,3,"tampilan terbaru lebih buruk, kembalikan tampilan lama. fitur jadi sulit dipakai, tidak bisa belajar spesifik utk difthong, Th t i dll",762e0afc-4f14-4bf3-ade9-94decab1e260
Pengguna Google,2025-03-01 16:54:51,1,Masih baru nyoba. Belum berani memberikan nilai tinggi,5af471a3-0c9c-434f-9fe6-a5e86b1a73b7
Pengguna Google,2025-03-01 14:24:43,5,josss gandhoz,9655645d-ef67-428b-a5ba-481cc621ec89
Pengguna Google,2025-02-28 00:52:14,5,cool,14d77a12-71d9-43ae-881a-d79def677705
Pengguna Google,2025-02-27 13:00:00,2,Aplikasinya lumayan sih. Kenapa bintang 2 soalnya fiturnya harus premium semua. Pelajaran gratis ya cuma 2/hari itupun kadang aplikasinya sering bug berat kayak telkomsel or shopee. Dikeluarkan terus pas buka lagi pelajaran gratis nya yg kita buka di awal udah ga bisa padahal kitanya belum belajar sama sekali. Kalau mau yg free haru nunggu 24 jam. Aku udah coba 3 hari kayak gitu terus udahlah lama nunggu 24 jam pas dibuka nge-bug lagi.,ed9b203a-29df-43b6-b897-24604c8effcd
Pengguna Google,2025-02-27 01:41:17,1,"Terkadang AI nya sering salah menafsirkan pronoun saya, padahal saat saya menginput suara di google atau chatgpt aplikasi2 tersebut dapat dengan baik paham akan kata yang saya ucapkan. Dan terlebih lagi saat role play sering eror sendiri, seperti 2 kesempatan free terpakai padahal saya hanya pakai 1 loh.",a4ba273a-3b5a-4411-a7a3-1e1d00c9f5fb
Pengguna Google,2025-02-26 10:07:47,5,"sangat seru, membantu, keren",844f0a8b-0a0c-46cc-aa80-530bf07022ee
Pengguna Google,2025-02-23 12:35:39,3,"baik, akan tetapi app ini butuh sinyal kuat. kalo ga kuat lama banget concersation nya",b3557928-dfa5-450e-9612-b023c80e5bf9
